,cpu,cpu_point
0,AMD Ryzen Threadripper PRO 5995WX,97275
1,AMD EPYC 7773X,90731
2,AMD EPYC 7J13,86006
3,AMD EPYC 7763,85944
4,AMD EPYC 7713,85521
5,AMD EPYC 7713P,83155
6,AMD Ryzen Threadripper PRO 3995WX,83153
7,AMD Ryzen Threadripper 3990X,81282
8,AMD Ryzen Threadripper PRO 5975WX,78496
9,AMD EPYC 7B13,77460
10,AMD EPYC 7643,76455
11,AMD EPYC 7662,73143
12,AMD EPYC 7702,71509
13,AMD EPYC 7742,68749
14,AMD EPYC 75F3,68505
15,AMD Ryzen Threadripper PRO 5965WX,67610
16,AMD EPYC 7543P,66964
17,AMD EPYC 7R32,64727
18,AMD Ryzen 9 7950X,64572
19,AMD Ryzen Threadripper 3970X,63548
20,AMD Ryzen Threadripper PRO 3975WX,62878
21,Intel Xeon Platinum 8380 @ 2.30GHz,62318
22,AMD EPYC 7702P,62278
23,AMD EPYC 74F3,60686
24,AMD EPYC 7513,59988
25,AMD EPYC 7642,59126
26,AMD EPYC 7443P,57490
27,AMD EPYC 7542,56728
28,AMD EPYC 7543,56562
29,AMD EPYC 7532,55358
30,AMD EPYC 7453,54999
31,AMD Ryzen Threadripper 3960X,54803
32,Intel Core i9-13900K,54433
33,Intel Xeon Platinum 8358 @ 2.60GHz,54416
34,Intel Xeon W-3375 @ 2.50GHz,53266
35,Intel Xeon Gold 6348 @ 2.60GHz,52276
36,Intel Xeon Platinum 8375C @ 2.90GHz,51836
37,AMD Ryzen 9 7900X,51198
38,Intel Xeon Gold 6314U @ 2.30GHz,51014
39,AMD EPYC 7413,50223
40,AMD Ryzen Threadripper PRO 5955WX,49726
41,Intel Xeon Platinum 8347C @ 2.10GHz,49386
42,AMD EPYC 7502,49178
43,AMD EPYC 7502P,48995
44,Intel Xeon Gold 6342 @ 2.80GHz,48330
45,Intel Xeon W-3345 @ 3.00GHz,48261
46,AMD EPYC 7402,47743
47,Intel Xeon Gold 6338N @ 2.20GHz,46583
48,ARM Neoverse-N1 128 Core 3000 MHz,46271
49,AMD EPYC 73F3,46085
50,AMD EPYC 7343,45882
51,AMD Ryzen 9 5950X,45854
52,Intel Xeon Gold 6336Y @ 2.40GHz,45517
53,Intel Core i9-12900KS,44781
54,AMD EPYC 7551P,44111
55,Intel Xeon Gold 6312U @ 2.40GHz,43745
56,Intel Xeon Gold 6330 @ 2.00GHz,43056
